500000
10000
2118	21194
329	10279
4630	5028
588	80223
4600	938
77	53600
1129	17322
2795	3602
2868	9112
265	43934
4210	34253
3858	38747
268	30006
3230	55427
1117	70331
2141	44428
3874	40272
200	36766
4899	12426
788	68942
1721	15890
3968	14660
4063	41578
1299	4729
780	13993
1521	38967
3197	46451
4957	3131
916	15041
4262	18131
989	7206
4355	14947
1397	9008
2512	12941
1132	8099
2377	4256
2793	1298
2300	70257
4866	18867
1985	17002
4707	65245
2922	2718
731	51190
2765	12487
2244	1505
255	14568
2514	8162
2808	11594
1720	13669
3155	32796
2640	13440
2308	5855
3857	6123
4474	8485
3568	16896
2964	56614
978	18799
2206	25223
2997	6445
163	12399
444	400
2089	9981
794	181
4922	16801
4147	4821
223	50848
2704	2677
4965	37042
2993	20487
3569	23578
2746	4567
1805	20420
1256	21098
3867	7623
1707	36716
606	6119
3868	39273
4110	5370
3445	8424
2714	44717
4142	4557
4533	7672
1211	4550
2027	6703
2376	2442
4082	3497
624	1447
3156	14566
1415	8537
193	7619
4965	6011
3383	7680
1827	8850
2379	6838
1925	57831
935	5273
3000	7770
4284	9453
1987	26027
1358	36483
711	64177
701	1031
1977	25540
1336	2163
3484	5944
4969	76048
1338	29130
4373	14807
3490	1055
3851	2193
120	2149
4114	7576
3561	5861
3749	261
1309	9340
1936	4443
3870	10609
2865	59337
4005	30675
602	19506
4058	58415
4443	2861
3898	2945
1370	16202
264	72237
500	5043
2502	7122
3690	13551
3058	9495
1519	8096
1532	12593
911	50584
2388	19908
4015	1132
4470	2867
3209	883
3599	4327
3798	28869
4767	18281
4363	1056
574	3188
855	12367
4544	3573
4713	9586
3355	6163
4259	42909
2902	18470
3475	74083
2986	2498
2975	19000
3034	20102
2854	11369
3836	34519
2651	19431
1382	17029
4987	10959
3251	3906
4067	15597
2694	49331
1149	43476
3860	14450
4481	31427
2116	25864
2286	10829
2887	5873
3136	70180
1633	1846
2801	2829
4840	52358
642	13921
1522	10269
384	16082
2249	11273
2321	3790
4320	13031
2518	254
1700	18523
3825	55622
2317	78615
909	10059
4516	7884
1611	8980
3181	19410
4257	22344
1540	4264
1514	3788
1393	61032
1771	4503
4558	8942
3617	81011
2213	5132
2381	12613
3756	5854
362	39989
770	3087
1427	58122
1641	31611
1183	11934
1868	1585
4031	38311
3031	7728
124	1919
3828	32445
1483	7621
1746	8576
58	19759
3245	7202
3682	10413
3659	37141
4644	47883
2443	20103
646	3781
2245	1515
3045	33155
2750	44133
1618	70742
915	32306
2399	33352
1442	3210
2009	6438
1590	16554
1517	4625
2810	9685
1764	57930
2410	6698
4777	21012
1391	43440
3583	1881
1497	5934
1925	7281
4412	3304
3147	16601
2725	21348
1876	29558
4228	10994
2564	16037
898	40161
745	33001
3002	4419
4652	41105
441	2601
4159	20621
223	27311
2853	10299
1445	19265
1590	16732
3486	15180
1234	1
1152	17040
4723	18147
1018	7681
2653	37810
3021	9407
752	2628
4421	8671
2482	7564
55	704
270	22771
1418	23643
2625	2278
4864	11163
857	1121
2787	50360
3047	17883
1994	18745
4859	17185
3899	4059
1412	224
336	15107
255	13544
3348	18355
4605	65620
2429	32110
2887	7494
2801	25346
4835	19309
18	2811
4566	6707
4012	21568
