500000
20000
204	15480
4551	7954
4632	7070
2572	806
3518	6274
819	3375
4528	31015
3722	5375
4586	9954
4963	13734
4225	5681
4176	8031
1902	58559
2334	12465
1554	10274
2556	2648
4441	37041
3418	6616
3353	1181
853	12477
3873	2883
3183	1673
3812	5297
1472	2786
1965	18437
586	4078
4659	5419
4582	352
2004	5026
3377	24038
3707	609
1667	1322
2923	9809
1925	3901
443	12008
2272	45896
2897	8584
4410	7720
4161	22207
1649	1445
3286	15240
1263	55006
2157	3680
2718	13986
1662	55693
2875	17529
4652	13601
1342	26657
3002	4744
805	49919
2141	5950
4725	29027
1718	3326
1187	2704
1207	5747
3797	2669
1827	10296
4419	5991
519	10245
1985	27340
4061	1383
4084	2457
3142	11623
2282	6104
4173	11449
4117	5719
280	16887
4526	240
4032	26805
883	8348
3637	5386
3907	10293
612	3202
886	22538
3051	162
1511	13666
2945	1645
4467	22714
696	3444
2802	6226
3805	540
3995	11809
1988	5488
1017	7772
1950	6943
3186	14850
188	54909
4435	4243
1490	3896
183	60091
487	13407
4807	1219
617	5515
4617	26853
3859	6147
4764	189
2145	3289
2271	4958
712	4478
1975	465
464	1135
3063	59105
4307	21523
3879	31429
1349	55683
2119	3602
4707	6717
3394	20894
3334	5097
4846	5181
3567	32032
1256	3117
1226	8956
3946	3262
3157	4605
2343	30458
4583	53610
4635	21678
1083	5410
2261	6220
3836	6222
4301	541
3897	2673
3224	6005
1664	1566
4985	29991
1524	8560
3544	7828
752	6077
3740	1797
4019	15440
106	3738
2915	43228
549	48610
620	5214
2941	12735
3881	7234
2859	6491
1319	23050
128	17863
406	23848
1451	37104
1801	28738
2321	6865
3418	25421
37	3524
3801	1919
2255	812
3924	11295
382	14452
845	27257
4928	6612
3401	18813
3126	26536
4061	4785
4419	22879
777	31130
219	7683
1334	5526
142	58912
737	492
3260	4626
2136	18790
3431	11964
393	14336
2246	8432
4471	20007
3806	4410
2246	9691
4897	2537
932	12838
4513	5603
264	28837
714	26670
1053	20016
1789	31391
2069	10343
4345	25
663	13581
4122	23990
3859	18229
1252	15039
1458	4440
871	2958
2080	4187
4522	68
324	14937
2409	25614
4876	21902
3312	1177
4139	46361
2991	23177
381	30763
4534	14895
3175	8649
3424	31307
2249	2581
3353	61198
1317	3568
2642	5184
3199	293
1449	2833
2100	5706
83	3082
4469	6748
4644	1534
2099	36139
2211	51891
1754	22627
2833	5114
4784	2680
416	8762
732	681
4277	36176
1993	20214
471	1633
2538	11786
392	47251
2821	9030
441	1995
3578	535
1391	9900
787	1107
3482	3114
1611	10514
1818	17872
2129	51736
3746	10106
2940	52673
191	7525
4933	40173
120	7549
3666	13122
3741	10915
1751	1523
937	25719
1276	1307
4705	8800
3300	21369
428	21991
3754	17255
2331	27875
1667	2240
1184	12341
3640	4428
224	12590
4315	21307
4003	6966
2966	25039
3264	1978
2777	19931
2707	11774
715	2227
4065	7651
1885	21473
2680	2721
708	13544
3801	5444
2518	741
2784	51881
433	2074
4488	23735
3120	53104
3536	14056
1455	18735
290	1562
4132	26217
3313	2628
4862	9345
696	13522
2655	1756
4559	6601
1348	12049
367	2318
225	14189
1450	1126
1894	14391
2886	13541
3247	5699
1856	2183
2789	19332
579	54014
4432	1934
392	10337
3278	3825
4189	6244
266	18711
1425	7287
1712	786
3835	53048
3317	10036
